Comunidad_Autonoma,Poblacion,Paro_medio,Porcentaje_Mayores_65,Renta_Media_Hogar,Tasa_Riesgo_Pobreza,PIB,PIB_Per_Capita,Extension_km2,Esperanza_Vida,Tasa_Dependencia,Densidad_Poblacion,Nombre_Completo
01 Andalucía,8676713,15.23,19.13,33078,27.7,212359,24542,87599,82.82,51.51,99.05,Andalucía
02 Aragón,1364621,8.04,22.6,39943,13.6,49634,36699,47720,84.24,57.3,28.6,Aragón
"03 Asturias, Principado de",1015128,8.83,28.36,36869,17.2,30012,29660,10604,83.32,64.07,95.73,Principado de Asturias
"04 Balears, Illes",1249844,8.94,16.84,44457,11.6,44692,36093,4992,83.46,45.33,250.37,Illes Balears
05 Canarias,2258866,13.52,18.19,37023,22.9,58144,25861,7447,82.79,43.59,303.33,Canarias
06 Cantabria,593623,7.34,24.52,38022,13.9,17700,29893,5321,83.89,58.55,111.56,Cantabria
07 Castilla y León,2401221,8.55,27.25,35011,19.8,73992,30887,94224,84.67,64.12,25.48,Castilla y León
08 Castilla - La Mancha,2126378,12.77,20.08,33499,25.9,55559,26291,79461,83.85,53.46,26.76,Castilla - La Mancha
09 Cataluña,8124126,8.36,19.72,43889,14.3,302303,37477,32113,84.24,51.8,252.99,Cataluña
10 Comunitat Valenciana,5425182,11.57,20.39,34682,26.0,148283,27626,23255,83.4,53.05,233.29,Comunitat Valenciana
11 Extremadura,1053345,14.76,22.94,30519,26.2,26583,25224,41634,83.13,56.81,25.3,Extremadura
12 Galicia,2714741,8.35,26.88,36925,16.0,81839,30191,29575,84.09,62.58,91.79,Galicia
"13 Madrid, Comunidad de",7113886,7.97,18.87,47375,12.7,316193,44749,8028,85.58,49.78,886.13,Comunidad de Madrid
"14 Murcia, Región de",1586989,12.1,17.03,34155,26.7,42488,26944,11314,83.39,50.64,140.27,Región de Murcia
"15 Navarra, Comunidad Foral de",683854,7.69,20.99,46136,12.3,26619,39096,10391,84.66,56.4,65.81,Comunidad Foral de Navarra
16 País Vasco,2242343,7.33,24.18,46537,9.3,91612,41010,7234,84.64,59.58,309.97,País Vasco
"17 Rioja, La",326803,8.12,22.49,36828,18.4,11111,34125,5045,83.9,57.77,64.78,La Rioja
18 Ceuta,83567,24.36,13.69,42555,37.0,1923,23070,20,81.6,47.2,4178.35,Ceuta
19 Melilla,87067,24.82,12.68,40711,39.3,1825,21118,12,82.66,50.76,7255.58,Melilla
